index,rating,date,content
398,5.0,2025.07.05,"기다린 보람이 있었어요^^ 고기 질이 좋아 바삭한 튀김옷과 잘 어울렸고, 안심은 부드럽고 등심은 고소했습니다. 카레도 진하고 맛있어 함께 먹기에 딱 좋았습니다. 왜 제주까지 와서 연돈을 찾는지, 먹어보니 바로 알 수 있었어요!👍🏻👀👍🏻"
399,5.0,2025.06.28,"예약 줄 기다리려고 아침 9시까지 연돈 주차장에 갔는데 앞에 12팀이나 대기하고 있었습니다.
치즈돈까스는 제가 먹어본 가게 중 최고입니다.
치즈가 쭉쭉 늘어나고 돈까스 돼지고기도 누린내 없이 맛있으며 튀김옷도 바삭하니 좋았습니다."
400,5.0,2024.01.19,"리뷰작성 절대 안해요 원래는 그런데 여긴 꼭하고싶어요ㅎㅎ
부산에서 여자친구랑 제주도 여행을 갈려고 계획을 세우다가 더본호텔 예약이 되서 연돈을 가보자고 해서 미리계획을 세우고 갔어요!! 저가 돈까스를 엄청 좋아하는걸 알고 여기저기 돈까스를 먹어봤었는데 연돈만큼 맛있는집을 못본것같아요!! 진짜 지금도 다시 제주도 가야하나 고민들 정도로 연돈만큼
맛있는집은 못본것같아요 부산 서면(***예찬)에 매번가는집이 최애인줄 알았는데 진짜 마음이 변할정도에요 진짜 연돈연돈 하는이유를 알것같아요!
저인생에 이젠 연돈이 최애의 집이에요 고기 빵가루 빠지는게 하나도 없어요
그리고 특히 돈까스에서 기름냄새 기름이 하나도 안느껴져서 정말 좋았어요
깔끔 그자체에요 진짜 사장님 너무 감사합니다!!
특히 겨자에 돈까스소스 넣어먹을수있어 더욱더 맛있게 먹을수있어 좋았습니다!
처음엔 소금 찍어 먹어보는걸 추천드려요~고기가 얼마나 좋은지 알수있어요~
예전에 골목식당에서 포방터하실때부터 가보고싶었지만 줄이 너무 길다고해서 못가봤는데 진짜 이번 계기로 가본거에 후회없었습니다
줄은 7시50분에 서서 26번째인데 12시반쯤 들어갔어요ㅎㅎ
다시 줄서서 꼭 먹고싶습니다!! 사장님 한번더 감사드리고 이렇게 맛있는 돈까스 해주셔서 정말 감사합니다!"
401,5.0,2025.02.01,"* 대기시작 시간 ㅡ 09시00
* 티켓팅 시작 시간 ㅡ 09시 55분
(강풍.강우로 인한 조기 티켓팅 시작)

* 번호 86번 획득. 2시 전후로 진입
* 1일 한정메뉴ㅡ치즈돈까스 못먹음.
볼카츠와 동일 재료 투입이라면 굳이 먹을 필요
못느낌.
* 히레카스. 로스카스 먹어본 결과 고기육즙도 많고.
부들부들해서 맛있음.
로스카스쪽이 좀더 부드러웠고. 히레카스쪽이 단단한 식감
이었음.
재방문해도 치즈카츠는 안먹을 예정임."
402,4.5,2024.01.28,"제가 평소 궁금했던 점을 리뷰에 남겨봅니다.

평일(금요일) 오전 8시 10분 도착했어요.
순식간에 뒤로 줄이..;;
이슬비가 조금씩 오는데 다들 비맞고 기다렸어요.
추우니까 옷 따뜻하게 입고 오세요.
앞이 뚫려있어서 바람많이 불어요.
제주도에 와서 한 번도 쓰지 않은 핫팩을 기다리면서 유용하게 사용했어요.
일행분들과 교대로 기다리시는 거 추천합니다.
9시 50분에 캐치테이블 오픈됐고 30번이었어요.

기다리느라 손발이 얼어서 주변 관광은 못하고
근처 스타벅스에서 기다리다가
7번 알림이 12시 26분에 와서 출발했고
12시 36분에 입장알림떠서 입장했어요.
매장을 옮겨서 넓은데 자리를 꽉 채우지 않더라고요.
빈 테이블이 10개정도는 된 듯..

한 팀당 치즈돈까스는 하나만 주문가능해요.
다른 분들 말씀대로 모든 게 셀프서비스에요.
물도, 주문도, 음식도..
태블릿으로 선결제하는 시스템이고
음식이 나오면 매니저분이 ""몇번 테이블 음식 나왔습니다.""라고 알려주세요.
물론 태블릿에도 알림이 뜨고요.
음료는 주문을 하더라도 챙겨주지 않으니
음식 받을 때 음료 달라고 말씀하셔야 해요.
말씀하시면 냉장고에서 꺼내가라고 하십니다.
음료컵에 얼음달라고 주방에 요청하셔서 드시고요.
12시 50분쯤 식사 마치고 나왔는데 대기는 마감이었어요.

전에 있던 매장보다 넓어진 것은 사실이나 서비스나 위생 부분에서는 좀 아쉽네요.
대형마트 푸드코트 같았어요.
테이블도 지저분해서 닦아달라고 요청해야 하고요.
그리고 화장실이 남자,여자 각 한 칸씩인건 정말 너무 하고요.
심지어 세면대도 화장실 안에 있어서 손만 닦으려고해도 화장실에 누가 있으면 한참 기다려야 해요.
식사 다하시고 더본호텔 빽다방 오른쪽 옆문으로 들어가셔서
더본호텔 화장실 이용하세요.
훨씬 깨끗합니다.
연돈 화장실은 지저분해요..

주차는 현재까지도 무료에요.
바로 앞 길가에 주차하셔도 돼요.
1분거리에 다O소도 있어서 주차하고 쇼핑 다녀오셔도 됩니다.
전 다O소 쇼핑하고 식빵사고(근처에 식빵 맛집이 있어요.) 더본호텔도 다녀왔어요.

치즈돈까스 먹을 수 없는 순번이라면 전 대기하지 않겠습니다.
여기 말고도 근처에는 정말 맛집이 많아요."
403,5.0,2024.05.28,"제주 혼자 여행으로 왔지만~~~!!
아침 7시20분정도 줄서기
지난번 10번 20번 ㅋㅋㅋ완전 앞당겨짐.....
성공 4번째 ㅋㅋㅋㅋㅋ

연돈 치츠카츠를 먹으면 진짜 행복함 ㅋㅋㅋ
기분 좋게 잘 먹고 부산으로 갑니"
404,5.0,2024.09.13,"아침 8:10분에 도착했을 때 생각보다 사람이 없었어요! 9:52분에 캐치테이블 열어주셨구 12:40분에 23번 째로 들어갈 수 있었어요😃

캐치테이블 열리기 전까지는 땡볕에서 힘들게 기다렸지만 번호 받고 2시간동안은 더본호텔에 있는 빽다방에서 편하게 기다렸습니다 ㅎㅅㅎ ( 물론 빽다방두 줄이 꽤 길어서 자리 없으신 분들은 빵이랑 음료 포장해서 차에 계시면 될 듯 해요🙂‍↕️ )

등심은 오버쿡이다 딱딱하다라는 말들이 많았어서 걱정했는데 제 입맛에는 바삭바삭하구 엄청 맛있게 먹었습니다!

치즈카츠는 한정수량이 이해될 정도로 생모짜렐라 맛이 깊어서 정말 처음 먹어보는 치즈카츠 맛이였어요😍
생각보다 회전률은 빨라요

웨이팅이 조금만 더 줄어든다면 재방문 의사 10000%입니다!

아침부터 많은 손님 상대하시느라 직원분들도 힘드실텐데 친절하게 대해주셔서 전반적으로 너무 좋았어요 :)
잘 먹었습니다 🍀"
405,5.0,2024.03.08,"전날 9시40분쯤 가서 줄섰다가 76번 받고 2시에 가서 좀 기다렸는데 우리 전전에 치즈돈까스 품절이라고.
그래서 포기하고 다음날 1번을 목표로 6시50분에 가서 친구들과 번갈아 줄서 대기표 1번 받기 성공. 12시 오픈하자마자 들어갔어요. 치즈돈까스는 소문만큼 너무 맛있었고 친구들도 만족하며 먹었어요. 안심도 전 맛있었는데 친구들은 평범하다고. 치즈돈까스를 꼭 먹어야 하는 분들이라면 대기표 70번 안에는 들어야 할듯요~"
406,5.0,2024.11.20,"14시30분경 접수, 154분 웨이팅이라 일보고 복귀, 17시경 착석.
맛에 둔감한 편이라 튀김이나 고기는 괜찮은 편이구나 느낌이었는데,
저에겐 돈까스 소스가 인상깊었습니다.
소스의 미묘한 조합이 돈까스 맛을 백배 살려준 듯.
거기에 별 기대없이 추가한 카레도 꽤나 맛있어서 카레 포장 사왔습니다.
이번엔 무식하게 1시간 가량 주차장에서 대기해서 괴로웠지만 근처 카페등지에서 시간 보내고 온다면 웨이팅도 할 만 할 듯요"
407,4.0,2025.06.05,"대기 기다림은 한 두시간정도..
지난번에 먹지 못해서 한번 가 볼까.. 하고 방문.. 역시나, 기다림은 길었다. 돈가스에 진심인 사장님, 고기를 종일 두드리며 .. 어떤 맛일까 ?? 진짜 궁금...
기다림은 기렸지만.. 그러다.. 치즈돈가스는 먹지 못했지만..아쉬움 버리고.. 기본 돈가스 등심,안심과 하이라이스를 주문해서 먹어 봄.
좀 다르긴했다
기름의 느끼함은 적었다. 깔끔했고.. 바사삭 잘 튀겨져나왔다 .. 모든게 셀프였지만 ㅋㅋㅋ
리뷰 그대로 깍두기? 물렁물렁 멋이 없었다.
돈가스는 고기 두께도 어느정도 퀴김옷도 적당히.. 다른 줄서서 먹는 돈가스 전문점과 비교했을때.. 괜찮았다.. 맛도 있었고 친절했고.. 사장님은 주방에서 고기에 진심이였던 모습이 보였다 ㅎㅎ 하이라이스 신메뉴도 맛있었다.^^"
408,5.0,2025.06.19,"평일 오전 10시쯤 방문했더니 대기 38번이었고 오후 12시 50분 입장했습니다. 치즈카츠 드시려면 최소한 오전 11시 이전에 오셔서 웨이팅하시는게 좋을것 같아요. 제가 방문한 평일은 오전 11시반쯤 웨이팅 100번 되더라구요. 치즈카츠 꼭 안드셔도 괜찮다면 늦은오후 방문하시면 될 것 같아요. 치즈카츠와 안심돈까스는 이때까지 먹어본 여럿 돈까스중에 베스트였고 가격도 합리적이었구요. 카레는 일반카레가 아니라 조금 독특한 스타일이었는데 제 입맛에는 굳이 사올만하진 않았어요. 생긴지 한참 되었는데 여전히 찾는 사람이 많은건 이유가 있다고 생각하고 사장님도 대단하신것 같아요.
대기가 있다는게 유일한 단점이지만 예전에 밤샘대기 있을때를 생각하면 이정도 대기는 기다릴만 했다고 봅니다. 맛있게 잘 먹었습니다^^"
409,5.0,2025.01.19,"<웨이팅 1번의 찐후기를 알려드립니다>
제주 스무번 넘게 온 사람입니다.
저에게 연돈은 닿을듯 닿지 못하는 곳이었어요.
몇년전 어플로 예약할때 몇번 광탈하고 포기했죠.
하지만 연돈을 먹지 못한다면 먹보로서의 자존감이 낮아질것 같았어요. 🥹

제주 지인은 오후에 가면 웨이팅 없이 먹을 수 있어 그렇게 하자..

근데 언니.. 그럼 치즈까스가 없잖아?!!!😱

겨울 웨이팅 준비물 : 캠핑의자, 핫팩, 보조배터리, 무릎담요 (위아래 내복입기, 털모자 굿, 장갑)
참! 블로그보면 캠핑의자 다이소나 낚시의자 정도로 추천하시는데 찐캠핑의자가 버티기 좋아요. 정말 편히 앉아서 저 하나도 안힘들었어요.

1️⃣ 새벽 6:50분 연돈 도착 / 앞에 한팀 있었음
그러다 앞에 계신 분들이 차로 들어가셨음 (열팀 줄서면 그때 나오자고 하심) 그래서 내가 1번됨 갸갸갸갸갸

2️⃣기다림 : 넷플도 보고 유튭도 보고 게임도 하고 자기반성도 하고 인생계획도 세우고 나 개열받게 한 동료도 생각하고... (친구나 가족 같이오면 대화할거 같죠? 다들 조용히 ㅋㅋ 한명만 희생하세요)

3️⃣ 9:55분에 직원분 들어가시고 10시에 딱 웨이팅대(?)에 태블릿 두대 올려두시고 오픈 / 두대라 두명씩 가능 그래서 저는 1,3번을 받았어요. 2번은 제 뒤에 분이 ㅋㅋ
(저는 5명이서 먹을거라 번호 두개로 나누어 줄서요^^)

4️⃣ 주차장은 웨이팅 끝나면 한가해져요. 지금 1월은 연돈 주차장 무료입니다. 웨이팅 끝나고 중문쪽 가서 전기차 충전함 / 거기 스벅, 맥도널드 있으니 거기서 대기하셔도 좋을듯 해요.

5️⃣ 12시 정시 연돈 입장 (처음에는 5-8팀민 입장 / 아무래도 주문 후 만드는 시간 있으니 처음부터 홀이 꽉차게 안하더라구요

6️⃣치즈까스2, 안심2, 카레2(음료2 주문)
골목식당부터 연돈의 스토리를 아는 저는 의미가 있는 식사였고 돈까스 좋아하는 어린이 3명은 그냥 엄마가 가자고 하니 왔잖아요?

어린이 후기1: 집에서 배민으로 시키는 돈까스랑 비슷해요
어린이후기2: 맛있지만 엄마가 막 새벽부터 기다릴 정도는 아닌데요?
어린이후기3: 치즈에서 우유맛이 나요!

카레도 특별한건 없습니다. 약간 짰고.. 고형 카레로 만든 평범한 맛입니다. [수제 돈까스&카레 연돈]인데 카레를 왜 넣으셨을까?

^^ 전 제 후기보다 아이들 후기가 더 정확하다고 생각들었어요.

다시 안온다 이런건 절대 아니고!
훌륭한 돈까스는 맞아요.

연돈은 제주의 하나의 여행 문화가 되었다고 생각해요. 그래서 다른 멤버들과 온다면 또 제가 희생해서 맛보여줄래요 ㅋㅋ"
410,4.5,2024.11.20,"07:49 도착 / 앞에 5팀 있었습니다

10:30까지는 연돈 주차장 무료, 전기차 충전하면서 웨이팅하려고 더본호텔 전기차충전소에 갔는데 3대는 충전기 꽂아두고 주차중이고 1칸은 휘발유 차량이 주차해놨더라구요.. 전기차 충전은 호텔 주차공간 부족으로 인해 어려울 것 같습니다

08:00~08:15 이 15분동안 20팀은 온 것 같아요.
그리고 계속 오는 사람들..
12시 입장 직전에 캐치테이블 보니까 186팀 대기중이었어요.

8시 이전에 오시면 앞쪽 번호 무조건 받을 것 같은데,
정말 8시 이후에 사람들이 엄청나게 몰려와요

9시50분에 웨이팅 등록 가능하게 해주시고 기계는 2대입니다
제 앞사람이 잘 못해서 제가 늦게 웨이팅 등록하러 기계를 만졌으나 먼저 등록해서 5번 받았어요

12시 5분쯤 되면, 안내말씀해주시고(한 번에 전체 입장 제한, 나눠서 입장한다는 내용)
1~7번만 먼저 입장시켜줍니다. 순서대로는 아니고, 1~7번이면 누구나 들어갈 수 있어서 먼저 가는 사람 순으로 입장해요 (그니까 웨이팅 등록할 때 한 번호 앞서겠다고 막 옆사람보다 빨리 웨이팅 등록하려고 애쓸 필요는 없음)

들어가면 알아서 원하는 자리 앉으면 되고,
테이블에 있는 태블릿으로 주문하면 돼요.

2명이서 갔고, 메뉴도 미리 정하고 갔기 때문에 바로 주문했고,
음식은 두 번째로 나왔어요.

부산에서 톤쇼우
서울에서 정돈 등등
일본식 돈카츠랑은 다르게, 딱 우리나라 돈까스인데, 그 중 최상의 맛이라고 생각하면 될 것 같아요
속은 선홍빛이 아니라 완전히 익어서 하얀 고기이고,
튀김옷은 엄청 바삭하고 단단해요. 잘못 먹으면 입천장 다 까질 것 같은데, 이빨로 아그작 씹으면 바삭한 식감이 미쳤습니다..

카레는 흔한 맛있는 카레라 굳이 안 먹어도 될 것 같았고,

치즈카츠는 너무너무 부드럽고 맛있었어요

제주도에 갔으면 한 번쯤 먹어볼만한 맛집입니다.
그냥 07:30~50쯤 도착해서 영화나 드라마 한 편 줄 서서 앉아서 보고나면 웨이팅 등록 됩니다. 그게 편한 것 같아요.

그리고 겨울에는 살벌한 바람에 날씨..
무조건 따뜻하게 입고 오시고 모자쓰고 마스크도 하세요..
11월 중순인데도 미친 추위입니다.."
411,4.2,2025.01.04,"1/2일 오전 07:15에 도착
줄엔 1명 서 계셨고 주차하는 도중 차에서 1-2명 내리시더니 3명이 되어서 4등으로 줄 섰습니다.
이 시간대에는 차가 6대 정도 뿐이라 연돈 주차장에도 주차자리 넉넉했습니다.

처음 약 20분? 정도는 사람이 안늘었고 그 이후 몇명씩 오더니 8시 기준으로 줄이 막 생기며 길어집니다.
대충 8시반? 넘어가면서 주차자리가 잘 안보여서 가능하면 좀 더 일찍 오는게 나을 것 같습니다.

줄 기다리는데 바람 불어서 꽤 추우니 핫팩 챙기시고 제 앞에는 다이소에서 5천원짜리 접의식 의자에 앉아계시던데 줄 초반에는 공간도 있어서 괜찮은데 줄 중반, 후반은 차량 뒤고 사람도 붙어있어서 공간이 좀 협소하고 바닥도 의자놓기 불편해 보였어요.

9시55분쯤 직원분이 오셔서 들어가시고(주방 직원들은 이미 준비중이심) 캐치테이블 예약용 태블릿을 가져오시더니 10시 정각에 문열고 예약 입장을 시작 했습니다.

예약은 전화번호와 인원만 묻습니다. 메뉴 입력안하니까 예약하고 고민하셔도 됩니다. 시간도 정하는건 없습니다, 웨이팅 순서대로 들어가는 거라 정할 수 없더라구요. 올린 사진중 태블릿 나온 사진 위에 창에 번호별 입장 예상 시간 있으니까 참고하시길 바랍니다.

예약이 끝나고 나가는데 주차장에 차가 많아 쉽지 않았습니다. 근처 스타벅스로 가서 따듯한 커피를 마시고 있으니 아까 줄에 서계섰던 손님 몇분을 봤네요 ㅎㅎ
주차장 자리가 넓지는 않아서 스타벅스는 주차안될 수도?

아무튼 11시40분 쯤 다시 가니까 여전히 사람들은 입구에 많고 예약을 그때 하시는 분들도 계셨는데 269팀 이었습니다. 아 주차자리는 절반 정도 비었구요. 12시 딱 되니까 입장하려는데 12시 쿠폰손님이 계시더라구요?(호텔 이벤트 일종인가 싶었습니다) 그래서 초반 입장은 번호가 많이 안빠질 수 있습니다. 물론 전 4번이라 들어 갔지만요 ㅎㅎ

메뉴는 생각해놔서 등심, 안심, 치즈 다 시켰구요. 2명이서 갔는데 대략적으로 이야기 하면 라면1개에 밥 1공기 말아먹으면 배 꽤나 부른 2사람이 먹기에 3개는 가능합니다(배가 많이 부르고 밥은 1개 남겼지만).
카레는 추가로 안시키면 안나오는걸 음식 받고 알아서 나중에 추가로 시켰습니다.

음식평가
등심 = 튀김옷 장난아니고 고기도 두껍고 맛있었는데 살짝 속이 퍽퍽하긴 했어요.
안심= 기대 안했는데 고기 육즙도 있고 부드러워서 등심이랑 비교해서 먹으면 전 안심이 더 맛있었습니다. 다만 안심은 육즙이 좀 있어서 시간이 살짝지나면 육즙이 튀김옷 아래부분을 적셔 살짝 눅눅해져서 튀김옷은 등심이 더 좋습니다.
등심 안심 차이는 사진 올려뒀는데 두꺼운 쪽이 안심 얇고 긴 단면이 등심입니다.
치즈= 그냥 드세요. 이건 뭐 치즈 못드시는 거 아니면 그냥 드세요(궁서체).
카레=건더기 없는 살짝 걸죽한 소스같은 카레고 후추? 같은 향이 좀 느껴졌는데 맛있었어요. 다만 밥 비벼먹는 용이라기에 저는 찍어먹는 소스로써가 더 매력적이어서 소스로 치면 5/5점 카레로 치면 3.5/5점이라 처음이면 시켜서 찍어드셔보시고 처음 아니시면 필수라고 느끼진 않을 것 같습니다.
나머지는 사진처럼 단무지 깍두기 돈까스소스 밥 장국 샐러드인데 뭘 시켜도 똑같이 나옵니다. 테이블에 핑크솔트 있구요.
백종원 선생님이 소금 찍어먹고 싶어지면 완벽하다고 하셔서 찍어먹어 봤는데 맛 있습니다만 전 소스파 여서 ㅠㅠ 미식가 되기는 글렀습니다.
제 기준은 1등 카레 2등 돈까스소스 3등 소금 이었고 한가지만 먹으면 좀 지루해서 돌아가며 찍어 먹었습니다.

약 40분 정도에 다 먹고 나올때 보니까 265팀 남았더라구요. 4번인 저까지만 먹었던 것은 아니니 그 사이에 예약이 좀 늘어난 모양입니다. 주차자리는 다시 꽤 차있고 나갈 때 보니 12월 주차무료만 써 있던데 1/2인 오늘은 차단기가 첨부터 올라가 있어서 아마 주차비를 받을 생각은 없는거 같아요(닫혀있어도 호출 느르라 써 있는거 보면 닫혀있어도 안받을거 같습니다).

긴 글을 읽어주셔서 감사하고 요약을 바라실까 하여 요약하겠습니다.(단 이 내용은 2025.01.02를 기준 입니다)
1. 7시10분-20분 쯤 오면 12시에 왠만하면 입장할 것이다.
2. 어지간하면 8시 전까지는 와야 3-4시 전에 밥 먹을 것이다.
3. 시간이 아까우면 12시에 와서 예약만 하고 가고 6시에 식사 하는 것도 가능해보인다(물론 치즈는 못먹겠지만)
4. 8시 전이면 주차가능 이후면 주차를 못할걸 염두하고 한명을 줄세워두고 차는 나가는 경우가 많다.
5. 2명이서 가는데 3개 못먹을까봐 걱정되면 밥을 남기면 가능은 할 것이다.
6. 그래도 2개 시킨다면 치즈는 무조건이고 처음 갔다면 등심을 시켜서 확실하게 튀김옷 식감과 기름향을 느껴보고 처음 아니라면 안심이 맛있다.
7. 주차비 무료고 자리도 12-1시 까지는 문제 없더라."
412,4.3,2025.02.19,"아침9시30분쯤 도착해서, 현장 대기번호를 10시부터 순차적으로 시작함. 대기번호85번 배정받음. 오후 2시가 조금 지나서, 입장했음. 테이블 에서 안심돈까스와 치즈볼카츠 추가 주문 후, 직접 픽업해야 함. 물도 셀프임. 테이블 지저분해서, 직원 호출 후, 청소 부탁드림. 빵가루는 바삭한데, 음식 섭취 속도가 느린 나에겐 식은 빵가루는 다소 딱딱&거칠하게도 느껴짐. 입천장을 자꾸 찌르는 듯 한 식감이 통새우튀김 먹을 때, 새우 수염/다리/꼬리 부분 씹을 때처럼 불편함 있었음.

오늘은 빵가루 씹다가 너무 단단하고, 딱딱한 작은 알갱이가 치아조각이 떨어진 줄 착각해서 식사 도중 뱉어서 내용물 확인해 봤음.(내 행동이 cctv에 기록되었을테니, 매장 관계자는 확인해보셔도 괜찮음.ㅠㅠ)

요약한 맛 평가는,
※서울이나 동네 단골 돈까스 맛집과 비슷해서 큰 차이는 못 느낌.※

야채는 양배추 샐러드만 곁들어짐. 리필 가능한지 몰라서, 그냥 먹음. 밥은 심하게 꼬들밥이고, 쉽게 마른 듯한 느낌임. (나는 개인적으로, 꼬들밥 좋아하지 않음.)

단무지/장국은 괜찮음.
카레는 사이드 기본 메뉴에 포함되어 있지 않음.
돈까스 양 많지 않음.(적은 편.)

※다른 방문 후기 중, 깍두기 김치 맛이 형편없다는 평가를 읽고 방문했는데..정말 실망스러운 맛임.※

(내 삶에서 이렇게 맛없는 깍두기는 옛날 학교 급식이나 휴게소에서 제공되는 김치 맛.. 최악의 깍두기 맛임. 흡사, 내가 첫 깍두기 김치 담갔다가 망쳐버렸던 그 때 맛과 흡사했음. 맛은 짜고, 무의 썰기 정도도 제각각 크기도 엉망, 대충 성의없이 썰어서 만든 납품 업체의 맛없은 맛에, 개인적으로 많이 충격받음.)

아무리 깍두기가 사이드 디쉬이긴 해도, 밥심으로 맛을 보충해줘야 할 한국인에게는 고개가 절레절레 가로짓게 하는 맛임. (참고_우리 엄마가 김치를 잘 담궈서, 어려서부터 한번도 이런 맛없는 먹어본 기억이 거의 없어서일지도..깍두기 맛은 실망스러움.)

제주 여행중인 외국인들에게는 처음 맛보게 되는 음식인 한국 김치가 이렇게 원래 맛없는 것이구나..라고 고정관념이 생길까봐 염려스러운 맛임.

한국의 자랑스런 김치(깍두기)의 맛에 대한 실망감으로 기억될까봐 걱정될 정도임. 그 누구에게도 비추천하고픈 한국의 최악의 김치 맛임.ㅠㅠ

※식사 후, 매장 나올 때 깍두기를 직접 담궈서 고객에게 제공되는지 궁금해서 직원에게 문의하니..납품받는 깍두기라고 함.※
아무래도, 납품업체를 바꾸시든지..차라리 고객에게 제공하지 말든지..한번쯤 고민해보시길 부탁드림.

만약, 내가 다음에도 연돈을 재방문할까..?
생각해보니, 굳이 밥과 깍두기가 실망스러운데..4시간 넘게 대기시간을 감수하면서, 다른 좋은 먹거리가 많은 제주여행을 포기하면서, 시간투자를 하기엔..내가 서울이나 동네 맛집에서도 얼마든지 대체가능한 맛!! 딱 그만큼의 맛 경험이였음.

골목식당 시청하면서, 진심으로 응원하던 《연돈》 시청자로서, 1번의 맛 경험으로 충분했다고 생각하려고 함.(총 3번 제주 방문 후, 오늘이 첫 매장 방문 성공후기임. )

나홀로 힐링여행으로 택한 제주도인데, 《연돈》 매장은 그래도 항상~응원하겠음~!^^"
413,5.0,2024.12.13,"주말도 아니라 여유 있겠지 싶었어서 8시 50분 도착하니.. 벌써 줄은 길더라고요.. 원래도 돈까스를 즐겨먹지 않아서 기대는 낮았고, 입병 때문에 부드러운 음식만 먹다가 남자친구가 연돈 노래를 불러서 같이 먹은건데 어째서 돈까스를 먹었는데 입천장 한 번을 안 찔린 건지 아직도 의문입니다.. 분명 바삭한데 부드러웠어요..! 여기서 좀 감동.. 튀김옷만 따로 먹었을 때 쿠키 맛이 나는 것 같았어요ㅠㅠ 기다리는 동안 기대치가 낮아졌지만 먹고 나니 생각이 아예 바뀌더라구요!! 또 치즈는 왜 20분 정도 지났는데도 늘어나는 건지.. 의문 투성이였습니다.. 사장님이 마법사가 아닌지..."
414,4.3,2025.05.28,"첫 방문인데 기대를 하고 가도 맛있었습니다(평일 3시에 방문해서 1시간 기다렸다)

입 천장 다 까질듯한 바삭한 튀김옷인데, 기름을 잘 빼서 느끼하지 않았습니다.
그래서 그런가 고기는 부드러웠는데 금방 식는 느낌이랄까? 후반에는 좀 퍽퍽하게 느껴졌습니다.
양도 많아서 먹기 전엔 다른 테이블에서 한조각씩 남기길래 '왜 남기지?' 생각했는데 잘 먹는 저도 한 조각 남겼습니다.
(치즈카츠 품절이라 아쉽다)

카레랑 치즈볼카츠는 굳이? 안 먹어도 될 거 같습니다(가격대비 맛있는지 모르겠다)
깍두기 좀 더 맛있게 담그면 좋을 것 같다.

집 근처에 있으면 일주일에 한 번씩 갈 맛인 것 같아요. 괜히 연돈연돈 아닙니다(이 가격에 양, 퀄리티 탑급 확실하다)"
415,5.0,2024.09.15,꼭 재방문 하고싶고 다음에는 빨리 대기하고싶습니다 정말 났있었습니다
416,5.0,2024.03.22,"제주도 첫 여행의 본스케쥴을 연돈 대기로 시작했습니다! 비수기 평일(월요일 오전 9시 20분부터 대기)이라 치즈카츠 컷/예약 대기는 어렵지 않았어요:)

본론으로 들어가자면 >기다려서까지 먹어야하나<는 다른 흑돼지 돈까스에 비교하면 1.제주도(관광지역)가성비 2.도드람한돈 사용 3.어디와도 비교 불가능한 튀김옷 4.살아있는 양배추(소스♡) 등이 강점이였습니다. 고기 육질이 부드럽고 튀김옷이 방송에서 보던 것까진 아니라도 국내에선 아직 비교할 만 한 곳이 없었네요. 주관적 평일 순 있지만 말이죠!

안심카츠가 본래는 없던 메뉴라 시켜봤습니다만 상당히 부드럽고 아이들이나 이가 좋지 않으신 분들에게는 매우 추천드리는 식감을 자랑했습니다. 치즈카츠는 정말 좋은 치즈를 쓰셔서 오, 하는 감탄사는 나왔으나 제법 식어있어 늘어나지 않았던 치즈 부분이 아쉬웠습니다.

그 다소 아쉬운 감에 나오면서 사장님이 서 계시는 볼카츠쪽으로 가서 치즈볼카츠와 연돈도시락을 구매했습니다. 바로 튀기시는 것 같아서 간 것도 있지만 연돈 사장님이 거기 서계신다면 먹어봐야지요 ㅎㅎ 어린이 입맛 기준, 둘이 먹어본 결과 치즈 볼카츠가 진짜 미쳤습니다. 겉바속촉의 정석이고 양파향이 은은하게 나는데 전혀 거북하지않아서 야채를 식감탓에 먹지 못하거나 싫어하는 아이에게도 먹일 수 있는 수준이더라구요. 친구가 야채 먹는 건 젬병인데 맛있다고 허겁지겁 해치웠습니다. 보증합니다. 제가 녹은 치즈카츠를 먹지 못해 아쉬웠음을 감안해도 따끈따끈하게 끊기지않고 쭈욱 늘어나는 치즈와 팡 터지는 육즙이...한번 드셔보셔야합니다. 정말이요. 아쉬움을 싹 지워주다못해 이거 더 사가야한다. 는 생각만 더 들었습니다. 금방 돈까스 먹고와서 더 먹는 상황인데도 불구하고! 기실, 이것 때문에 사장님이 직접 튀기는 돈카츠도 먹어보고 싶다는 욕심도 생겼습니다. 물론 전수해주시는 제자분들도 노력하시겠지만 연록이 쌓여 꾸준함이 만들어낸 손길은 그것과는 다르니까요ㅠ

제가 프랜차이즈는 안가봤는데 볼카츠연돈본점 가시면 꼭 ★★★사장님의 볼카츠를 먹어봐주세요★★★연돈 도시락은 유튜브에서 추천한 식어서 밥에 소스가 스며든 상태로, 식어서 먹게 되었는데 따끈한 튀김에 바삭한 질감이 아니라 먹기좋게 식은 상태에 튀김옷 새로 스며든 녹녹한 소스와 밥의 조화로 저녁 간식으로 챙겼습니다 ㅎㅎ 관광이라 집과는 좀 거리가 있지만 아쉬운따라 체인점을 가면서 글을 써봅니다. 번창하세요:) 제주가 따뜻해지면 또 오겠습니다."
417,5.0,2025.07.12,"무조건 치즈 무조건 치즈!!! 엄청 진짜 너무 맛있었어요ㅜ
볼카츠도 시켰는데 육즙이 장난아니었어요
또 생각 날 맛입니다"
418,4.7,2024.12.04,"오랜 웨이팅 끝에 맛본 연돈!!
기대 이상!!"
